misra1,misra2,Poetry
تو دشنۂ نفرت ہی کو لہراتا رہا ہے ,تو نے کبھی دشمن سے لپٹ کر نہیں دیکھا ,تو دشنۂ نفرت ہی کو لہراتا رہا ہے  تو نے کبھی دشمن سے لپٹ کر نہیں دیکھا 
تھے کوچۂ جاناں سے پرے بھی کئی منظر ,دل نے کبھی اس راہ سے ہٹ کر نہیں دیکھا ,تھے کوچۂ جاناں سے پرے بھی کئی منظر  دل نے کبھی اس راہ سے ہٹ کر نہیں دیکھا 
اب یاد نہیں مجھ کو فرازؔ اپنا بھی پیکر ,جس روز سے بکھرا ہوں سمٹ کر نہیں دیکھا ,اب یاد نہیں مجھ کو فرازؔ اپنا بھی پیکر  جس روز سے بکھرا ہوں سمٹ کر نہیں دیکھا 
شاید آ جائیں کبھی چشم خریدار میں ہم ,جان و دل بیچ میں بازار کے رکھ دیتے ہیں ,شاید آ جائیں کبھی چشم خریدار میں ہم  جان و دل بیچ میں بازار کے رکھ دیتے ہیں 
تاکہ طعنہ نہ ملے ہم کو تنک ظرفی کا ,ہم قدح سامنے اغیار کے رکھ دیتے ہیں ,تاکہ طعنہ نہ ملے ہم کو تنک ظرفی کا  ہم قدح سامنے اغیار کے رکھ دیتے ہیں 
اب کسے رنج اسیری کہ قفس میں صیاد ,سارے منظر گل و گلزار کے رکھ دیتے ہیں ,اب کسے رنج اسیری کہ قفس میں صیاد  سارے منظر گل و گلزار کے رکھ دیتے ہیں 
ذکر جاناں میں یہ دنیا کو کہاں لے آئے ,لوگ کیوں مسئلے بے کار کے رکھ دیتے ہیں ,ذکر جاناں میں یہ دنیا کو کہاں لے آئے  لوگ کیوں مسئلے بے کار کے رکھ دیتے ہیں 
وقت وہ رنگ دکھاتا ہے کہ اہل دل بھی ,طاق نسیاں پہ سخن یار کے رکھ دیتے ہیں ,وقت وہ رنگ دکھاتا ہے کہ اہل دل بھی  طاق نسیاں پہ سخن یار کے رکھ دیتے ہیں 
زندگی تیری امانت ہے مگر کیا کیجے ,لوگ یہ بوجھ بھی تھک ہار کے رکھ دیتے ہیں ,زندگی تیری امانت ہے مگر کیا کیجے  لوگ یہ بوجھ بھی تھک ہار کے رکھ دیتے ہیں 
ہم تو چاہت میں بھی غالبؔ کے مقلد ہیں فرازؔ ,جس پہ مرتے ہیں اسے مار کے رکھ دیتے ہیں ,ہم تو چاہت میں بھی غالبؔ کے مقلد ہیں فرازؔ  جس پہ مرتے ہیں اسے مار کے رکھ دیتے ہیں 
ترے بدن میں دھڑکنے لگا ہوں دل کی طرح ,یہ اور بات کہ اب بھی تجھے سنائی نہ دوں ,ترے بدن میں دھڑکنے لگا ہوں دل کی طرح  یہ اور بات کہ اب بھی تجھے سنائی نہ دوں 
خود اپنے آپ کو پرکھا تو یہ ندامت ہے ,کہ اب کبھی اسے الزام بے وفائی نہ دوں ,خود اپنے آپ کو پرکھا تو یہ ندامت ہے  کہ اب کبھی اسے الزام بے وفائی نہ دوں 
مری بقا ہی مری خواہش گناہ میں ہے ,میں زندگی کو کبھی زہر پارسائی نہ دوں ,مری بقا ہی مری خواہش گناہ میں ہے  میں زندگی کو کبھی زہر پارسائی نہ دوں 
جو ٹھن گئی ہے تو یاری پہ حرف کیوں آئے ,حریف جاں کو کبھی طعن آشنائی نہ دوں ,جو ٹھن گئی ہے تو یاری پہ حرف کیوں آئے  حریف جاں کو کبھی طعن آشنائی نہ دوں 
مجھے بھی ڈھونڈ کبھی محو آئنہ داری ,میں تیرا عکس ہوں لیکن تجھے دکھائی نہ دوں ,مجھے بھی ڈھونڈ کبھی محو آئنہ داری  میں تیرا عکس ہوں لیکن تجھے دکھائی نہ دوں 
یہ حوصلہ بھی بڑی بات ہے شکست کے بعد ,کہ دوسروں کو تو الزام نارسائی نہ دوں ,یہ حوصلہ بھی بڑی بات ہے شکست کے بعد  کہ دوسروں کو تو الزام نارسائی نہ دوں 
فرازؔ دولت دل ہے متاع محرومی ,میں جام جم کے عوض کاسۂ گدائی نہ دوں ,فرازؔ دولت دل ہے متاع محرومی  میں جام جم کے عوض کاسۂ گدائی نہ دوں 
تنہائی میں روتے ہیں کہ یوں دل کو سکوں ہو ,یہ چوٹ کسی صاحب محفل سے لگی تھی ,تنہائی میں روتے ہیں کہ یوں دل کو سکوں ہو  یہ چوٹ کسی صاحب محفل سے لگی تھی 
اے دل ترے آشوب نے پھر حشر جگایا ,بے درد ابھی آنکھ بھی مشکل سے لگی تھی ,اے دل ترے آشوب نے پھر حشر جگایا  بے درد ابھی آنکھ بھی مشکل سے لگی تھی 
خلقت کا عجب حال تھا اس کوئے ستم میں ,سائے کی طرح دامن قاتل سے لگی تھی ,خلقت کا عجب حال تھا اس کوئے ستم میں  سائے کی طرح دامن قاتل سے لگی تھی 
اترا بھی تو کب درد کا چڑھتا ہوا دریا ,جب کشتیٔ جاں موت کے ساحل سے لگی تھی ,اترا بھی تو کب درد کا چڑھتا ہوا دریا  جب کشتیٔ جاں موت کے ساحل سے لگی تھی 
عشق ہے نام انتہاؤں کا ,اس سمندر میں اعتدال کہاں ,عشق ہے نام انتہاؤں کا  اس سمندر میں اعتدال کہاں 
ایسا نشہ تو زہر میں بھی نہ تھا ,اے غم دل تری مثال کہاں ,ایسا نشہ تو زہر میں بھی نہ تھا  اے غم دل تری مثال کہاں 
ہم کو بھی اپنی پائمالی کا ,ہے مگر اس قدر ملال کہاں ,ہم کو بھی اپنی پائمالی کا  ہے مگر اس قدر ملال کہاں 
میں نئی دوستی کے موڑ پہ تھا ,آ گیا ہے ترا خیال کہاں ,میں نئی دوستی کے موڑ پہ تھا  آ گیا ہے ترا خیال کہاں 
دل کہ خوش فہم تھا سو ہے ورنہ ,تیرے ملنے کا احتمال کہاں ,دل کہ خوش فہم تھا سو ہے ورنہ  تیرے ملنے کا احتمال کہاں 
وصل و ہجراں ہیں اور دنیائیں ,ان زمانوں میں ماہ و سال کہاں ,وصل و ہجراں ہیں اور دنیائیں  ان زمانوں میں ماہ و سال کہاں 
تجھ کو دیکھا تو لوگ حیراں ہیں ,آ گیا شہر میں غزال کہاں ,تجھ کو دیکھا تو لوگ حیراں ہیں  آ گیا شہر میں غزال کہاں 
تجھ پہ لکھی تو سج گئی ہے غزل ,آ ملا خواب سے خیال کہاں ,تجھ پہ لکھی تو سج گئی ہے غزل  آ ملا خواب سے خیال کہاں 
اب تو شہہ مات ہو رہی ہے فرازؔ ,اب بچاؤ کی کوئی چال کہاں ,اب تو شہہ مات ہو رہی ہے فرازؔ  اب بچاؤ کی کوئی چال کہاں 
ابھی ابھی وہ ملا تھا ہزار باتیں کیں ,ابھی ابھی وہ گیا ہے مگر زمانہ ہوا ,ابھی ابھی وہ ملا تھا ہزار باتیں کیں  ابھی ابھی وہ گیا ہے مگر زمانہ ہوا 
وہ رات بھول چکو وہ سخن نہ دہراؤ ,وہ رات خواب ہوئی وہ سخن فسانہ ہوا ,وہ رات بھول چکو وہ سخن نہ دہراؤ  وہ رات خواب ہوئی وہ سخن فسانہ ہوا 
کچھ اب کے ایسے کڑے تھے فراق کے موسم ,تری ہی بات نہیں میں بھی کیا سے کیا نہ ہوا ,کچھ اب کے ایسے کڑے تھے فراق کے موسم  تری ہی بات نہیں میں بھی کیا سے کیا نہ ہوا 
ہجوم ایسا کہ راہیں نظر نہیں آتیں ,نصیب ایسا کہ اب تک تو قافلہ نہ ہوا ,ہجوم ایسا کہ راہیں نظر نہیں آتیں  نصیب ایسا کہ اب تک تو قافلہ نہ ہوا 
شہید شب فقط احمد فرازؔ ہی تو نہیں ,کہ جو چراغ بکف تھا وہی نشانہ ہوا ,شہید شب فقط احمد فرازؔ ہی تو نہیں  کہ جو چراغ بکف تھا وہی نشانہ ہوا 
نہیں ایسا بھی کہ اک عمر کی قربت کے نشے ,ایک دو روز کی رنجش سے ٹھکانے لگ جائیں ,نہیں ایسا بھی کہ اک عمر کی قربت کے نشے  ایک دو روز کی رنجش سے ٹھکانے لگ جائیں 
یہی ناصح جو ہمیں تجھ سے نہ ملنے کو کہیں ,تجھ کو دیکھیں تو تجھے دیکھنے آنے لگ جائیں ,یہی ناصح جو ہمیں تجھ سے نہ ملنے کو کہیں  تجھ کو دیکھیں تو تجھے دیکھنے آنے لگ جائیں 
ہم کہ ہیں لذت آزار کے مارے ہوئے لوگ ,چارہ گر آئیں تو زخموں کو چھپانے لگ جائیں ,ہم کہ ہیں لذت آزار کے مارے ہوئے لوگ  چارہ گر آئیں تو زخموں کو چھپانے لگ جائیں 
ربط کے سینکڑوں حیلے ہیں محبت نہ سہی ,ہم ترے ساتھ کسی اور بہانے لگ جائیں ,ربط کے سینکڑوں حیلے ہیں محبت نہ سہی  ہم ترے ساتھ کسی اور بہانے لگ جائیں 
ساقیا مسجد و مکتب تو نہیں مے خانہ ,دیکھنا پھر بھی غلط لوگ نہ آنے لگ جائیں ,ساقیا مسجد و مکتب تو نہیں مے خانہ  دیکھنا پھر بھی غلط لوگ نہ آنے لگ جائیں 
قرب اچھا ہے مگر اتنی بھی شدت سے نہ مل ,یہ نہ ہو تجھ کو مرے روگ پرانے لگ جائیں ,قرب اچھا ہے مگر اتنی بھی شدت سے نہ مل  یہ نہ ہو تجھ کو مرے روگ پرانے لگ جائیں 
اب فرازؔ آؤ چلیں اپنے قبیلے کی طرف ,شاعری ترک کریں بوجھ اٹھانے لگ جائیں ,اب فرازؔ آؤ چلیں اپنے قبیلے کی طرف  شاعری ترک کریں بوجھ اٹھانے لگ جائیں 
بات بن آئی ہے پھر سے کہ مرے بارے میں ,اس نے پوچھیں مرے غم خوار سے باتیں کیا کیا ,بات بن آئی ہے پھر سے کہ مرے بارے میں  اس نے پوچھیں مرے غم خوار سے باتیں کیا کیا 
لوگ لب بستہ اگر ہوں تو نکل آتی ہیں ,چپ کے پیرایۂ اظہار سے باتیں کیا کیا ,لوگ لب بستہ اگر ہوں تو نکل آتی ہیں  چپ کے پیرایۂ اظہار سے باتیں کیا کیا 
کسی سودائی کا قصہ کسی ہرجائی کی بات ,لوگ لے آتے ہیں بازار سے باتیں کیا کیا ,کسی سودائی کا قصہ کسی ہرجائی کی بات  لوگ لے آتے ہیں بازار سے باتیں کیا کیا 
ہم نے بھی دست شناسی کے بہانے کی ہیں ,ہاتھ میں ہاتھ لیے پیار سے باتیں کیا کیا ,ہم نے بھی دست شناسی کے بہانے کی ہیں  ہاتھ میں ہاتھ لیے پیار سے باتیں کیا کیا 
کس کو بکنا تھا مگر خوش ہیں کہ اس حیلے سے ,ہو گئیں اپنے خریدار سے باتیں کیا کیا ,کس کو بکنا تھا مگر خوش ہیں کہ اس حیلے سے  ہو گئیں اپنے خریدار سے باتیں کیا کیا 
ہم ہیں خاموش کہ مجبور محبت تھے فرازؔ ,ورنہ منسوب ہیں سرکار سے باتیں کیا کیا ,ہم ہیں خاموش کہ مجبور محبت تھے فرازؔ  ورنہ منسوب ہیں سرکار سے باتیں کیا کیا 
کیا کریں عرض تمنا کہ تجھے دیکھتے ہی ,لفظ پیرایۂ اظہار میں گم ہو جائیں ,کیا کریں عرض تمنا کہ تجھے دیکھتے ہی  لفظ پیرایۂ اظہار میں گم ہو جائیں 
یہ نہ ہو تم بھی کسی بھیڑ میں کھو جاؤ کہیں ,یہ نہ ہو ہم کسی بازار میں گم ہو جائیں ,یہ نہ ہو تم بھی کسی بھیڑ میں کھو جاؤ کہیں  یہ نہ ہو ہم کسی بازار میں گم ہو جائیں 
کس طرح تجھ سے کہیں کتنا بھلا لگتا ہے ,تجھ کو دیکھیں ترے دیدار میں گم ہو جائیں ,کس طرح تجھ سے کہیں کتنا بھلا لگتا ہے  تجھ کو دیکھیں ترے دیدار میں گم ہو جائیں 
ہم ترے شوق میں یوں خود کو گنوا بیٹھے ہیں ,جیسے بچے کسی تیوہار میں گم ہو جائیں ,ہم ترے شوق میں یوں خود کو گنوا بیٹھے ہیں  جیسے بچے کسی تیوہار میں گم ہو جائیں 
پیچ اتنے بھی نہ دو کرمک ریشم کی طرح ,دیکھنا سر ہی نہ دستار میں گم ہو جائیں ,پیچ اتنے بھی نہ دو کرمک ریشم کی طرح  دیکھنا سر ہی نہ دستار میں گم ہو جائیں 
ایسا آشوب زمانہ ہے کہ ڈر لگتا ہے ,دل کے مضموں ہی نہ اشعار میں گم ہو جائیں ,ایسا آشوب زمانہ ہے کہ ڈر لگتا ہے  دل کے مضموں ہی نہ اشعار میں گم ہو جائیں 
شہریاروں کے بلاوے بہت آتے ہیں فرازؔ ,یہ نہ ہو آپ بھی دربار میں گم ہو جائیں ,شہریاروں کے بلاوے بہت آتے ہیں فرازؔ  یہ نہ ہو آپ بھی دربار میں گم ہو جائیں 
دل سے کل محو تکلم تھے تو معلوم ہوا ,کوئی کاکل کوئی لب کوئی دہن یاد نہیں ,دل سے کل محو تکلم تھے تو معلوم ہوا  کوئی کاکل کوئی لب کوئی دہن یاد نہیں 
عقل کے شہر میں آیا ہے تو یوں گم ہے جنوں ,لب گویا کو بھی بے ساختہ پن یاد نہیں ,عقل کے شہر میں آیا ہے تو یوں گم ہے جنوں  لب گویا کو بھی بے ساختہ پن یاد نہیں 
اول اول تو نہ تھے واقف آداب قفس ,اور اب رسم و رہ اہل چمن یاد نہیں ,اول اول تو نہ تھے واقف آداب قفس  اور اب رسم و رہ اہل چمن یاد نہیں 
ہر کوئی ناوک و ترکش کی دکاں پوچھتا ہے ,کسی گاہک کو مگر اپنا بدن یاد نہیں ,ہر کوئی ناوک و ترکش کی دکاں پوچھتا ہے  کسی گاہک کو مگر اپنا بدن یاد نہیں 
